property_id, reservation_id, guests, check_in, check_out
1, 1, 4, 2020-08-31, 2020-09-03
1, 2, 4, 2020-09-24, 2020-09-27
1, 3, 4, 2020-08-31, 2020-09-03
1, 4, 4, 2020-09-29, 2020-10-02
1, 5, 4, 2020-09-29, 2020-10-02
2, 1, 6, 2020-10-29, 2020-11-01
2, 2, 6, 2020-11-24, 2020-11-27
2, 3, 6, 2020-10-07, 2020-10-10
2, 4, 6, 2020-09-21, 2020-09-24
2, 5, 6, 2020-11-09, 2020-11-12
3, 1, 2, 2020-11-23, 2020-11-26
3, 2, 2, 2020-10-28, 2020-10-31
3, 3, 2, 2020-11-13, 2020-11-16
3, 4, 2, 2020-08-31, 2020-09-03
3, 5, 2, 2020-10-27, 2020-10-30
4, 1, 4, 2020-10-27, 2020-10-30
4, 2, 4, 2020-10-23, 2020-10-26
4, 3, 4, 2020-11-21, 2020-11-24
4, 4, 4, 2020-11-23, 2020-11-26
4, 5, 4, 2020-10-15, 2020-10-18
5, 1, 6, 2020-08-31, 2020-09-03
5, 2, 6, 2020-11-15, 2020-11-18
5, 3, 6, 2020-09-23, 2020-09-26
5, 4, 6, 2020-11-21, 2020-11-24
5, 5, 6, 2020-11-12, 2020-11-15
6, 1, 2, 2020-09-12, 2020-09-15
6, 2, 2, 2020-09-27, 2020-09-30
6, 3, 2, 2020-10-01, 2020-10-04
6, 4, 2, 2020-09-07, 2020-09-10
6, 5, 2, 2020-10-29, 2020-11-01
7, 1, 4, 2020-11-20, 2020-11-23
7, 2, 4, 2020-11-25, 2020-11-28
7, 3, 4, 2020-10-17, 2020-10-20
7, 4, 4, 2020-11-19, 2020-11-22
7, 5, 4, 2020-10-19, 2020-10-22
8, 1, 6, 2020-09-24, 2020-09-27
8, 2, 6, 2020-10-28, 2020-10-31
8, 3, 6, 2020-09-23, 2020-09-26
8, 4, 6, 2020-10-17, 2020-10-20
8, 5, 6, 2020-11-21, 2020-11-24
9, 1, 2, 2020-10-06, 2020-10-09
9, 2, 2, 2020-09-09, 2020-09-12
9, 3, 2, 2020-09-10, 2020-09-13
9, 4, 2, 2020-09-04, 2020-09-07
9, 5, 2, 2020-09-15, 2020-09-18
